object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
214503;11;Charlottenburg-Wilmersdorf;4300412.0;2021;8;16;5;2;2;7;0;1;1;0;0;0;0;0;790790,5272;5827406,769;13,28658439;52,51901987
214501;11;Pankow;3601142.0;2021;8;8;5;3;5;2;0;1;1;0;0;0;0;0;798877,4168;5831047,155;13,40868956;52,54727876
214500;11;Lichtenberg;11300722.0;2021;8;14;3;3;5;2;0;1;1;0;0;0;0;0;804254,8493;5827660,041;13,4846494;52,51394501
214495;11;Tempelhof-Schoeneberg;7400826.0;2021;7;7;2;3;2;6;0;1;1;0;0;0;0;0;796375,887;5819730,898;13,36183777;52,44720568
214494;11;Neukoelln;8100521.0;2021;8;18;6;3;5;3;0;1;1;0;0;0;0;0;802952,9866;5822470,626;13,46080555;52,46815734
214493;11;Reinickendorf;12500825.0;2021;8;9;2;3;1;5;0;1;1;0;0;0;0;0;791828,5708;5834818,999;13,30835459;52,58491395
214492;11;Tempelhof-Schoeneberg;7601341.0;2021;8;18;6;3;0;1;0;1;0;0;0;0;0;1;798091,2792;5814994,03;13,38278229;52,403812
214491;11;Mitte;1100416.0;2021;7;16;2;3;5;3;0;1;0;0;0;0;0;0;798573,7064;5829253,97;13,40261263;52,53137195
214490;11;Friedrichshain-Kreuzberg;2100104.0;2021;8;16;4;3;3;6;0;1;0;0;1;0;0;0;799280,7385;5826124,754;13,41018976;52,50293548
214488;11;Mitte;1100312.0;2021;7;8;5;3;5;2;0;1;1;0;0;0;0;0;799517,7026;5826714,166;13,41420065;52,50808865
214487;11;Mitte;1300834.0;2021;8;17;4;3;6;7;0;1;0;1;0;0;0;0;797534,7214;5830997,827;13,3889028;52,54757158
214486;11;Steglitz-Zehlendorf;6200313.0;2021;8;19;3;3;5;3;0;1;1;0;0;0;0;0;794988,2699;5818425,367;13,3403272;52,43625274
214484;11;Treptow-Koepenick;9200715.0;2021;7;8;2;3;5;2;0;1;0;0;0;0;1;0;807718,4983;5818728,525;13,52729145;52,43195686
214483;11;Friedrichshain-Kreuzberg;2400520.0;2021;8;7;2;3;5;2;0;1;1;0;0;0;0;0;800327,2834;5828827,183;13,42800076;52,52658323
214482;11;Friedrichshain-Kreuzberg;2500833.0;2021;8;14;7;3;5;2;0;1;1;0;0;0;0;0;802523,1333;5827271,42;13,45885525;52,51142505
214479;11;Mitte;2100104.0;2021;7;16;5;3;5;3;0;1;1;0;0;0;0;1;799366,1489;5826336,252;13,41163447;52,5047844
214477;11;Friedrichshain-Kreuzberg;2400623.0;2021;8;5;5;3;5;3;0;1;1;0;0;0;0;0;800357,801;5827846,593;13,42756374;52,51777709
214474;11;Steglitz-Zehlendorf;6400844.0;2021;8;17;4;2;5;2;0;1;1;0;0;0;0;0;792381,1402;5820930,835;13,30427805;52,46011395
214473;11;Tempelhof-Schoeneberg;7400928.0;2021;8;7;3;3;5;2;0;1;1;0;0;0;0;1;800259,2952;5821588,251;13,42047743;52,46173528
214469;11;Treptow-Koepenick;9200717.0;2021;8;7;3;3;5;3;0;1;1;0;0;0;0;0;809544,4352;5819798,764;13,55505453;52,44051813
